Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_TNR_R.TSPT_Suppo90,Chrome 119.0.0.0,,,2023-11-23 14:28:20,2023-11-23 14:44:21,"16m - 1,231s",FAILED
,,,,,,,
Test Cases/Cas D Utilisations/Usager Etudiant/TNR R.TSPT Supp90-Etudiant,Chrome 119.0.0.0,,,2023-11-23 14:28:21,2023-11-23 14:36:30,"8m - 9,038s",PASSED
com.kazurayam.ksbackyard.HighlightElement.pandemic(),Chrome 119.0.0.0,,,2023-11-23 14:28:23,2023-11-23 14:28:24,"0,524s",PASSED
"callTestCase(findTestCase(""Test Reutilisable/Main/Lancer URL ANEF""), [""Profiles"":""Usager"", ""EnvExec"":EnvExec], STOP_ON_FAILURE)",Chrome 119.0.0.0,Appel Brique Réutilisable pour lancer URl ANEF pour Usager ou Agent,,2023-11-23 14:28:24,2023-11-23 14:29:12,"47,838s",PASSED
"callTestCase(findTestCase(""Test Reutilisable/Main/Creer Votre Compte""), [""NumEtrangerVisa"":NumEtrangerVisa, ""DateDebut"":DateDebut, ""DateFin"":DateFin, ""EnvExec"":EnvExec], STOP_ON_FAILURE)",Chrome 119.0.0.0,Appel Brique Réutilisable pour Créer un Compte Usager,,2023-11-23 14:29:12,2023-11-23 14:31:52,"2m - 40,551s",PASSED
if (StopTestCase == false),Chrome 119.0.0.0,,,2023-11-23 14:31:52,2023-11-23 14:36:27,"4m - 35,178s",PASSED
Video,Chrome 119.0.0.0,,,2023-11-23 14:36:30,2023-11-23 14:36:30,"0,000s",PASSED
,,,,,,,
Test Cases/Cas D Utilisations/Usager Etudiant/TNR R.TSPT Supp90-Etudiant,Chrome 119.0.0.0,,,2023-11-23 14:36:30,2023-11-23 14:37:50,"1m - 19,332s",PASSED
com.kazurayam.ksbackyard.HighlightElement.pandemic(),Chrome 119.0.0.0,,,2023-11-23 14:36:30,2023-11-23 14:36:30,"0,006s",PASSED
"callTestCase(findTestCase(""Test Reutilisable/Main/Lancer URL ANEF""), [""Profiles"":""Usager"", ""EnvExec"":EnvExec], STOP_ON_FAILURE)",Chrome 119.0.0.0,Appel Brique Réutilisable pour lancer URl ANEF pour Usager ou Agent,,2023-11-23 14:36:30,2023-11-23 14:37:09,"38,414s",PASSED
"callTestCase(findTestCase(""Test Reutilisable/Main/Creer Votre Compte""), [""NumEtrangerVisa"":NumEtrangerVisa, ""DateDebut"":DateDebut, ""DateFin"":DateFin, ""EnvExec"":EnvExec], STOP_ON_FAILURE)",Chrome 119.0.0.0,Appel Brique Réutilisable pour Créer un Compte Usager,,2023-11-23 14:37:09,2023-11-23 14:37:47,"38,746s",PASSED
if (StopTestCase == false),Chrome 119.0.0.0,,,2023-11-23 14:37:47,2023-11-23 14:37:47,"0,000s",PASSED
Video,Chrome 119.0.0.0,,,2023-11-23 14:37:50,2023-11-23 14:37:50,"0,000s",PASSED
,,,,,,,
Test Cases/Cas D Utilisations/Usager Etudiant/TNR R.TSPT Supp90-Etudiant,Chrome 119.0.0.0,,,2023-11-23 14:37:50,2023-11-23 14:44:21,"6m - 31,543s",FAILED
com.kazurayam.ksbackyard.HighlightElement.pandemic(),Chrome 119.0.0.0,,,2023-11-23 14:37:50,2023-11-23 14:37:50,"0,007s",PASSED
"callTestCase(findTestCase(""Test Reutilisable/Main/Lancer URL ANEF""), [""Profiles"":""Usager"", ""EnvExec"":EnvExec], STOP_ON_FAILURE)",Chrome 119.0.0.0,Appel Brique Réutilisable pour lancer URl ANEF pour Usager ou Agent,,2023-11-23 14:37:50,2023-11-23 14:38:28,"37,954s",PASSED
"callTestCase(findTestCase(""Test Reutilisable/Main/Creer Votre Compte""), [""NumEtrangerVisa"":NumEtrangerVisa, ""DateDebut"":DateDebut, ""DateFin"":DateFin, ""EnvExec"":EnvExec], STOP_ON_FAILURE)",Chrome 119.0.0.0,Appel Brique Réutilisable pour Créer un Compte Usager,,2023-11-23 14:38:28,2023-11-23 14:41:04,"2m - 35,743s",PASSED
if (StopTestCase == false),Chrome 119.0.0.0,,,2023-11-23 14:41:04,2023-11-23 14:44:17,"3m - 13,757s",FAILED
Video,Chrome 119.0.0.0,,,2023-11-23 14:44:21,2023-11-23 14:44:21,"0,001s",PASSED
